food_item,fat_g,satfat_g,carbs_g,protein_g,fiber_g,energy_kcal_calculated
"Udi's, Gluten Free, Soft & Hearty Whole Grain Bread",0.0934,0.0027824267782426784,0.49090000000000006,0.08208786231884059,0.06202531645569621,0.3436632233699878
"Udi's, Gluten Free, Whole Grain Dinner Rolls",0.11599999999999999,0.01444560669456067,0.4429,0.13360507246376815,0.14177215189873416,0.3652115961346218
"Van's, Gluten Free, Totally Original Pancakes",0.0455,0.005020920502092051,0.4032,0.037477355072463775,0.0189873417721519,0.23936465622570255
"Seaweed, Canadian Cultivated EMI-TSUNOMATA, dry",0.0139,0.004707112970711298,0.46240000000000003,0.1736865942028986,0.4645569620253165,0.28745973564367433
"Seaweed, Canadian Cultivated EMI-TSUNOMATA, rehydrated",0.0017000000000000001,0.0005230125523012553,0.0562,0.021059782608695655,0.056962025316455694,0.034877263134510714
"Potatoes, hash brown, refrigerated, unprepared",0.0008,0.0,0.1916,0.019814311594202903,0.02278481012658228,0.09374652893479951
"Potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil",0.10300000000000001,0.008420502092050211,0.33990000000000004,0.03668478260869566,0.04556962025316456,0.2683549927801844
"Sweet Potatoes, french fried, frozen as packaged, salt added in processing",0.0892,0.012102510460251048,0.3558,0.02445652173913044,0.07215189873417721,0.2568032877929579
"Squash, Indian, cooked, boiled (Navajo)",0.0015,0.0,0.0322,0.0035099637681159424,0.0189873417721519,0.01721648339442408
"Mutton, cooked, roasted (Navajo)",0.1109,0.0537866108786611,0.0008,0.378509963768116,0.0,0.25969121403976453
Tamales (Navajo),0.061200000000000004,0.025062761506276152,0.1812,0.07110507246376813,0.039240506329113925,0.1696101299566811
"Corn, dried, yellow (Northern Plains Indians)",0.10640000000000001,0.02064853556485356,0.6627,0.16394927536231887,0.25949367088607594,0.4651782739086971
