food_item,fat_g,satfat_g,carbs_g,protein_g,fiber_g,energy_kcal_calculated,cluster,subcluster,supercluster,plate_role
"Desserts, flan, caramel custard, prepared-from-recipe",4.03,1.799,22.78,4.53,0.0,145.5,0,1,0-1,protein
"Ice creams, vanilla",11.0,6.79,23.6,3.5,0.7,207.4,0,1,0-1,protein
"Ice creams, vanilla, light, soft-serve",2.6,1.63,21.8,4.9,0.0,130.2,0,1,0-1,protein
"Sherbet, orange",2.0,1.16,30.4,1.1,1.3,144.0,0,1,0-1,protein
"Ice creams, chocolate, light",7.19,4.38,25.7,5.0,0.8,187.5,0,1,0-1,protein
"Puddings, banana, dry mix, instant, prepared with 2% milk",1.7,0.971,19.74,2.76,0.0,105.3,0,0,0-0,fruit / veg
"Puddings, banana, dry mix, regular, prepared with 2% milk",1.73,1.015,18.43,2.9,0.0,100.9,0,0,0-0,fruit / veg
"Van's, Gluten Free, Totally Original Pancakes",4.55,0.48,40.32,3.31,1.5,215.5,0,1,0-1,protein
"Seaweed, Canadian Cultivated EMI-TSUNOMATA, rehydrated",0.17,0.05,5.62,1.86,4.5,31.4,0,0,0-0,fruit / veg
"Potatoes, hash brown, refrigerated, unprepared",0.08,0.0,19.16,1.75,1.8,84.4,0,0,0-0,fruit / veg
"Potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil",10.3,0.805,33.99,3.24,3.6,241.6,0,1,0-1,protein
"Sweet Potatoes, french fried, frozen as packaged, salt added in processing",8.92,1.157,35.58,2.16,5.7,231.2,0,1,0-1,protein
"Squash, Indian, cooked, boiled (Navajo)",0.15,0.0,3.22,0.31,1.5,15.5,0,0,0-0,fruit / veg
Tamales (Navajo),6.12,2.396,18.12,6.28,3.1,152.7,0,1,0-1,protein
"Restaurant, Mexican, soft taco with ground beef, cheese and lettuce",10.81,4.486,17.92,12.56,1.5,219.2,0,1,0-1,protein
"Restaurant, Latino, chicken and rice, entree, prepared",5.06,1.101,20.03,12.02,1.2,173.7,0,1,0-1,protein
"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",9.01,2.188,31.49,5.59,5.8,229.4,0,1,0-1,protein
"Restaurant, Latino, pupusas con queso (pupusas, cheese)",13.25,6.479,22.39,11.72,2.9,255.7,0,1,0-1,protein
"Restaurant, Latino, pupusas del cerdo (pupusas, pork)",10.43,3.166,23.02,11.51,2.6,232.0,0,1,0-1,protein
"Restaurant, Latino, tamale, corn",7.21,2.629,26.68,3.48,3.2,185.5,0,1,0-1,protein
