food_item,fat_g,satfat_g,carbs_g,protein_g,fiber_g,energy_kcal_calculated,cluster,subcluster,supercluster,plate_role
"Mollusks, clam, mixed species, raw",0.96,0.187,3.57,14.67,0.0,81.6,0,0,0-0,fruit / veg
"Mollusks, mussel, blue, raw",2.24,0.425,3.69,11.9,0.0,82.5,0,0,0-0,fruit / veg
"Mollusks, octopus, common, raw",1.04,0.227,2.2,14.91,0.0,77.8,0,0,0-0,fruit / veg
"Mollusks, oyster, Pacific, raw",2.3,0.51,4.95,9.45,0.0,78.3,0,0,0-0,fruit / veg
"Mollusks, scallop, mixed species, raw",0.49,0.128,3.18,12.06,0.0,65.4,0,0,0-0,fruit / veg
"Mollusks, scallop, mixed species, imitation, made from surimi",0.41,0.08,10.62,12.77,0.0,97.2,0,1,0-1,protein
"Lima beans, large, mature seeds, cooked, boiled, without salt",0.38,0.089,20.88,7.8,7.0,118.1,0,1,0-1,protein
"Lima beans, large, mature seeds, canned",0.17,0.039,14.91,4.93,4.8,80.9,0,0,0-0,fruit / veg
"Mung beans, mature seeds, cooked, boiled, without salt",0.38,0.116,19.15,7.02,7.6,108.1,0,1,0-1,protein
Soy sauce made from soy and wheat (shoyu),0.57,0.073,4.93,8.14,0.8,57.4,0,0,0-0,fruit / veg
Soy sauce made from soy (tamari),0.1,0.011,5.57,10.51,0.8,65.2,0,0,0-0,fruit / veg
Soy sauce made from hydrolyzed vegetable protein,0.51,0.04,7.84,7.0,0.5,64.0,0,0,0-0,fruit / veg
"Tofu, salted and fermented (fuyu)",8.0,1.157,4.38,8.92,0.0,125.2,0,1,0-1,protein
"Yardlong beans, mature seeds, cooked, boiled, without salt",0.45,0.116,21.09,8.29,3.8,121.6,0,1,0-1,protein
"Beans, kidney, red, mature seeds, canned, drained solids",1.05,0.181,21.49,7.98,5.5,127.3,0,1,0-1,protein
"Beans, pinto, canned, drained solids",0.9,0.158,20.22,6.99,5.5,116.9,0,1,0-1,protein
"Hummus, commercial",17.82,2.562,15.0,7.78,5.5,251.5,0,1,0-1,protein
"Tofu, extra firm, prepared with nigari",5.26,0.919,1.18,9.98,1.0,92.0,0,0,0-0,fruit / veg
"MORI-NU, Tofu, silken, soft",2.7,0.357,2.9,4.8,0.1,55.1,0,0,0-0,fruit / veg
"Soymilk, chocolate, unfortified",1.53,0.24,9.95,2.26,0.4,62.6,0,0,0-0,fruit / veg
"Soymilk, chocolate, with added calcium, vitamins A and D",1.53,0.24,9.95,2.26,0.4,62.6,0,0,0-0,fruit / veg
"Refried beans, canned, vegetarian",0.87,0.142,13.5,5.28,4.7,83.0,0,0,0-0,fruit / veg
"Refried beans, canned, traditional, reduced sodium",2.01,0.631,13.55,4.98,3.7,92.2,0,0,0-0,fruit / veg
"Yardlong beans, mature seeds, cooked, boiled, with salt",0.45,0.116,21.09,8.29,3.8,121.6,0,1,0-1,protein
"Veal, variety meats and by-products, brain, raw",8.21,1.91,0.0,10.32,0.0,115.2,0,1,0-1,protein
"Lamb, New Zealand, imported, sweetbread, raw",3.16,1.602,0.0,11.0,0.0,72.4,0,0,0-0,fruit / veg
"Soup, chicken mushroom, canned, condensed",4.84,1.246,11.95,1.61,3.2,97.8,0,0,0-0,fruit / veg
"Sauce, barbecue",0.63,0.045,40.77,0.82,0.9,172.0,0,1,0-1,protein
"Sauce, homemade, white, medium",10.63,2.854,9.17,3.84,0.2,147.7,0,1,0-1,protein
"Sauce, homemade, white, thick",13.83,3.416,11.61,3.99,0.3,186.9,0,1,0-1,protein
"Sauce, ready-to-serve, pepper or hot",0.37,0.052,1.75,0.51,0.3,12.4,0,0,0-0,fruit / veg
"Sauce, ready-to-serve, pepper, TABASCO",0.76,0.106,0.8,1.29,0.6,15.2,0,0,0-0,fruit / veg
"Sauce, oyster, ready-to-serve",0.25,0.043,10.92,1.35,0.3,51.3,0,0,0-0,fruit / veg
"Soup, minestrone, canned, reduced sodium, ready-to-serve",0.8,0.14,9.0,2.0,2.4,51.2,0,0,0-0,fruit / veg
"Sauce, fish, ready-to-serve",0.01,0.003,3.64,5.06,0.0,34.9,0,0,0-0,fruit / veg
"Soup, shark fin, restaurant-prepared",2.0,0.501,3.8,3.2,0.0,46.0,0,0,0-0,fruit / veg
"Soup, bean & ham, canned, reduced sodium, prepared with water or ready-to-serve",1.03,0.252,13.66,4.19,4.0,80.7,0,0,0-0,fruit / veg
"Split pea soup, canned, reduced sodium, prepared with water or ready-to serve",0.92,0.3,11.83,3.85,1.9,71.0,0,0,0-0,fruit / veg
"Split pea with ham soup, canned, reduced sodium, prepared with water or ready-to-serve",0.7,0.294,11.4,4.0,1.9,67.9,0,0,0-0,fruit / veg
"Soup, chicken broth, ready-to-serve",0.21,0.013,0.44,0.64,0.0,6.2,0,0,0-0,fruit / veg
"Soup, cream of chicken, canned, prepared with equal volume milk",4.62,1.87,6.04,3.01,0.1,77.8,0,0,0-0,fruit / veg
"Soup, vegetable, canned, low sodium, condensed",0.9,0.147,12.11,2.2,2.1,65.3,0,0,0-0,fruit / veg
"Soup, clam chowder, new england, canned, prepared with equal volume low fat (2%) milk",2.02,1.094,7.46,3.24,0.3,61.0,0,0,0-0,fruit / veg
"Soup, cream of mushroom, canned, prepared with equal volume low fat (2%) milk",3.58,1.116,5.76,2.36,0.3,64.7,0,0,0-0,fruit / veg
"Soup, cream of onion, canned, prepared with equal volume milk",3.78,1.63,7.4,2.74,0.3,74.6,0,0,0-0,fruit / veg
"Sauce, barbecue, KRAFT, original",0.62,0.038,40.77,0.74,0.4,171.6,0,1,0-1,protein
"Soup, HEALTHY CHOICE Chicken Noodle Soup, canned",0.63,0.4,5.2,3.69,0.8,41.2,0,0,0-0,fruit / veg
"Soup, tomato, canned, prepared with equal volume low fat (2%) milk",1.24,0.707,9.82,2.42,0.5,60.1,0,0,0-0,fruit / veg
"CAMPBELL'S, Tomato Soup, condensed",0.44,0.0,15.22,1.46,1.1,70.7,0,0,0-0,fruit / veg
"CAMPBELL'S CHUNKY, Classic Chicken Noodle Soup",1.3,0.408,5.41,3.41,1.0,47.0,0,0,0-0,fruit / veg
"Soup, cream of asparagus, canned, prepared with equal volume water",1.68,0.43,4.38,0.94,0.2,36.4,0,0,0-0,fruit / veg
"Soup, cheese, canned, prepared with equal volume water",4.24,2.7,4.26,2.19,0.4,64.0,0,0,0-0,fruit / veg
"Soup, chicken broth, canned, prepared with equal volume water",0.57,0.16,0.38,2.02,0.0,14.7,0,0,0-0,fruit / veg
"CAMPBELL'S CHUNKY, Hearty Beef Barley Soup",0.92,0.377,8.98,2.89,1.0,55.8,0,0,0-0,fruit / veg
"Soup, cream of chicken, canned, prepared with equal volume water",3.02,0.85,3.8,1.41,0.1,48.0,0,0,0-0,fruit / veg
"Soup, clam chowder, manhattan, canned, prepared with equal volume water",0.86,0.149,4.77,0.85,0.6,30.2,0,0,0-0,fruit / veg
"Soup, clam chowder, new england, canned, prepared with equal volume water",1.01,0.468,5.05,1.55,0.3,35.5,0,0,0-0,fruit / veg
"Soup, beef broth, bouillon, consomme, prepared with equal volume water",0.0,0.0,0.73,2.22,0.0,11.8,0,0,0-0,fruit / veg
"Soup, mushroom with beef stock, canned, prepared with equal volume water",1.65,0.64,3.81,1.29,0.3,35.2,0,0,0-0,fruit / veg
"Soup, cream of onion, canned, prepared with equal volume water",2.16,0.6,5.2,1.13,0.4,44.8,0,0,0-0,fruit / veg
"Soup, oyster stew, canned, prepared with equal volume water",1.59,1.04,1.69,0.87,0.0,24.6,0,0,0-0,fruit / veg
"Soup, pea, green, canned, prepared with equal volume water",1.09,0.524,9.88,3.2,1.9,62.1,0,0,0-0,fruit / veg
"Soup, turkey noodle, canned, prepared with equal volume water",0.82,0.23,3.54,1.6,0.3,27.9,0,0,0-0,fruit / veg
"Soup, turkey vegetable, canned, prepared with equal volume water",1.26,0.37,3.58,1.28,0.2,30.8,0,0,0-0,fruit / veg
"Soup, vegetarian vegetable, canned, prepared with equal volume water",0.79,0.12,4.89,0.86,0.3,30.1,0,0,0-0,fruit / veg
"Soup, vegetable beef, canned, prepared with equal volume water",0.76,0.34,4.06,2.23,0.8,32.0,0,0,0-0,fruit / veg
"Soup, chicken broth cubes, dry, prepared with water",0.12,0.03,0.62,0.39,0.0,5.1,0,0,0-0,fruit / veg
"Soup, cream of chicken, dry, mix, prepared with water",2.04,1.3,5.11,0.68,0.1,41.5,0,0,0-0,fruit / veg
"Soup, onion, dry, mix, prepared with water",0.01,0.004,2.77,0.32,0.3,12.4,0,0,0-0,fruit / veg
"Soup, tomato, dry, mix, prepared with water",0.61,0.286,7.17,0.93,0.4,37.9,0,0,0-0,fruit / veg
"Turkey, white, rotisserie, deli cut",3.0,0.118,7.7,13.5,0.4,111.8,0,1,0-1,protein
"Cereals, MALT-O-MEAL, original, plain, prepared with water, without salt",0.09,0.01,10.09,1.67,0.3,47.8,0,0,0-0,fruit / veg
"Figs, dried, stewed",0.4,0.062,27.57,1.42,4.2,119.6,0,1,0-1,protein
"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids",0.05,0.006,8.51,0.42,1.0,36.2,0,0,0-0,fruit / veg
"Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, juice pack, solids and liquids",0.01,0.001,11.86,0.46,1.0,49.4,0,0,0-0,fruit / veg
"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, water pack, solids and liquids",0.07,0.009,7.87,0.35,1.0,33.5,0,0,0-0,fruit / veg
"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, juice pack, solids and liquids",0.03,0.004,13.05,0.51,1.0,54.5,0,0,0-0,fruit / veg
"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, light syrup, solids and liquids",0.07,0.009,15.14,0.34,1.0,62.6,0,0,0-0,fruit / veg
"Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, extra heavy syrup, solids and liquids",0.06,0.009,22.77,0.33,1.0,92.9,0,0,0-0,fruit / veg
"Grapefruit, raw, pink and red, all areas",0.14,0.021,10.66,0.77,1.6,47.0,0,0,0-0,fruit / veg
"Grapefruit, raw, pink and red, Florida",0.1,0.014,7.5,0.55,1.1,33.1,0,0,0-0,fruit / veg
"Grapefruit, raw, white, all areas",0.1,0.014,8.41,0.69,1.1,37.3,0,0,0-0,fruit / veg
"Grapefruit juice, white, canned or bottled, unsweetened",0.66,0.082,7.54,0.55,0.6,38.3,0,0,0-0,fruit / veg
"Grapefruit juice, white, canned, sweetened",0.09,0.012,11.13,0.58,0.1,47.7,0,0,0-0,fruit / veg
"Grapefruit juice, white, frozen concentrate, unsweetened, undiluted",0.48,0.064,34.56,1.97,0.4,150.4,0,1,0-1,protein
"Grapefruit juice, white, frozen concentrate, unsweetened, diluted with 3 volume water",0.13,0.019,9.73,0.55,0.1,42.3,0,0,0-0,fruit / veg
"Grapes, american type (slip skin), raw",0.35,0.114,17.15,0.63,0.9,74.3,0,0,0-0,fruit / veg
"Grapes, red or green (European type, such as Thompson seedless), raw",0.16,0.054,18.1,0.72,0.9,76.7,0,0,0-0,fruit / veg
"Grapes, canned, thompson seedless, water pack, solids and liquids",0.11,0.035,10.3,0.5,0.6,44.2,0,0,0-0,fruit / veg
"Grapes, canned, thompson seedless, heavy syrup pack, solids and liquids",0.1,0.033,19.65,0.48,0.6,81.4,0,0,0-0,fruit / veg
"Guava sauce, cooked",0.14,0.04,9.48,0.32,3.6,40.5,0,0,0-0,fruit / veg
"Jackfruit, raw",0.64,0.195,23.25,1.72,1.5,105.6,0,0,0-0,fruit / veg
"Beef, variety meats and by-products, tripe, cooked, simmered",4.05,1.357,1.99,11.71,0.0,91.2,0,0,0-0,fruit / veg
"Soup, egg drop, Chinese restaurant",0.61,0.166,4.29,1.16,0.4,27.3,0,0,0-0,fruit / veg
"Soup, hot and sour, Chinese restaurant",1.21,0.229,4.35,2.58,0.5,38.6,0,0,0-0,fruit / veg
"Beverages, THE COCA-COLA COMPANY, NOS Zero, energy drink, sugar-free with guarana, fortified with vitamins B6 and B12",0.0,0.0,1.03,0.0,0.0,4.1,0,0,0-0,fruit / veg
"Alcoholic beverage, whiskey sour, canned",0.0,0.0,13.4,0.0,0.1,53.6,0,0,0-0,fruit / veg
"Beverages, Whiskey sour mix, bottled",0.1,0.008,21.4,0.1,0.0,86.9,0,0,0-0,fruit / veg
"Alcoholic beverage, whiskey sour, prepared from item 14028",0.06,0.005,12.82,0.06,0.0,52.1,0,0,0-0,fruit / veg
"Beverages, CYTOSPORT, Muscle Milk, ready-to-drink",2.17,0.362,2.28,5.87,0.2,52.1,0,0,0-0,fruit / veg
"Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof",0.0,0.0,0.0,0.0,0.0,0.0,0,0,0-0,fruit / veg
"Beverages, OCEAN SPRAY, Cran-Energy, Cranberry Energy Juice Drink",0.0,0.0,3.75,0.0,0.0,15.0,0,0,0-0,fruit / veg
"Alcoholic beverage, distilled, rum, 80 proof",0.0,0.0,0.0,0.0,0.0,0.0,0,0,0-0,fruit / veg
"Alcoholic beverage, distilled, vodka, 80 proof",0.0,0.0,0.0,0.0,0.0,0.0,0,0,0-0,fruit / veg
"Alcoholic beverage, distilled, whiskey, 86 proof",0.0,0.0,0.1,0.0,0.0,0.4,0,0,0-0,fruit / veg
"Beverages, almond milk, chocolate, ready-to-drink",1.25,0.0,9.38,0.63,0.4,51.3,0,0,0-0,fruit / veg
"Beverages, Energy Drink with carbonated water and high fructose corn syrup",0.0,0.0,15.0,0.42,0.0,61.7,0,0,0-0,fruit / veg
"Beverages, Energy Drink, sugar free",0.0,0.0,0.42,0.42,0.0,3.4,0,0,0-0,fruit / veg
"Beverages, ABBOTT, ENSURE, Nutritional Shake, Ready-to-Drink",2.53,0.422,16.88,3.8,0.0,105.5,0,0,0-0,fruit / veg
"Beverages, ZEVIA, cola",0.0,0.0,1.13,0.0,0.0,4.5,0,0,0-0,fruit / veg
"Beverages, ZEVIA, cola, caffeine free",0.0,0.0,1.13,0.0,0.0,4.5,0,0,0-0,fruit / veg
"Beverages, GEROLSTEINER BRUNNEN GmbH & Co. KG,Gerolsteiner naturally sparkling mineral water,",0.0,0.0,0.0,0.0,0.0,0.0,0,0,0-0,fruit / veg
"Beverages, yellow green colored citrus soft drink with caffeine",0.0,0.0,12.83,0.0,0.0,51.3,0,0,0-0,fruit / veg
"Beverages, V8 SPLASH Smoothies, Strawberry Banana",0.0,0.0,8.16,1.22,0.0,37.5,0,0,0-0,fruit / veg
"Beverages, V8 SPLASH Smoothies, Tropical Colada",0.0,0.0,8.54,1.22,0.4,39.0,0,0,0-0,fruit / veg
"Beverages, Coconut water, ready-to-drink, unsweetened",0.0,0.0,4.24,0.22,0.0,17.8,0,0,0-0,fruit / veg
"Beverages, almond milk, unsweetened, shelf stable",0.96,0.08,1.31,0.4,0.2,15.5,0,0,0-0,fruit / veg
"Alcoholic Beverage, wine, table, red, Cabernet Sauvignon",0.0,0.0,2.6,0.07,0.0,10.7,0,0,0-0,fruit / veg
"Alcoholic Beverage, wine, table, red, Cabernet Franc",0.0,0.0,2.45,0.07,0.0,10.1,0,0,0-0,fruit / veg
"Alcoholic Beverage, wine, table, red, Pinot Noir",0.0,0.0,2.31,0.07,0.0,9.5,0,0,0-0,fruit / veg
"Alcoholic Beverage, wine, table, red, Syrah",0.0,0.0,2.58,0.07,0.0,10.6,0,0,0-0,fruit / veg
"Alcoholic beverage, wine, table, white",0.0,0.0,2.6,0.07,0.0,10.7,0,0,0-0,fruit / veg
"Alcoholic Beverage, wine, table, red, Lemberger",0.0,0.0,2.46,0.07,0.0,10.1,0,0,0-0,fruit / veg
"Alcoholic Beverage, wine, table, red, Sangiovese",0.0,0.0,2.62,0.07,0.0,10.8,0,0,0-0,fruit / veg
"Alcoholic Beverage, wine, table, red, Carignane",0.0,0.0,2.4,0.07,0.0,9.9,0,0,0-0,fruit / veg
"Alcoholic beverage, wine, table, white, Pinot Gris (Grigio)",0.0,0.0,2.06,0.07,0.0,8.5,0,0,0-0,fruit / veg
"Beverages, carbonated, club soda",0.0,0.0,0.0,0.0,0.0,0.0,0,0,0-0,fruit / veg
"Alcoholic beverage, wine, table, white, Gewurztraminer",0.0,0.0,2.6,0.07,0.0,10.7,0,0,0-0,fruit / veg
"Alcoholic beverage, wine, table, white, Semillon",0.0,0.0,3.12,0.07,0.0,12.8,0,0,0-0,fruit / veg
"Beverages, carbonated, ginger ale",0.0,0.0,8.76,0.0,0.0,35.0,0,0,0-0,fruit / veg
"Beverages, NESTEA, tea, black, ready-to-drink, lemon",0.0,0.0,9.09,0.0,0.0,36.4,0,0,0-0,fruit / veg
"Alcoholic beverage, wine, table, white, Pinot Blanc",0.0,0.0,1.94,0.07,0.0,8.0,0,0,0-0,fruit / veg
"Beverages, carbonated, low calorie, cola or pepper-type, with aspartame, without caffeine",0.0,0.0,0.12,0.12,0.0,1.0,0,0,0-0,fruit / veg
"Beverages, carbonated, cola, without caffeine",0.0,0.0,10.58,0.0,0.0,42.3,0,0,0-0,fruit / veg
"Beverages, carbonated, cola, regular",0.25,0.0,10.36,0.0,0.0,43.7,0,0,0-0,fruit / veg
"Beverages, carbonated, reduced sugar, cola, contains caffeine and sweeteners",0.0,0.0,5.16,0.0,0.0,20.6,0,0,0-0,fruit / veg
"Beverages, carbonated, orange",0.0,0.0,12.3,0.0,0.0,49.2,0,0,0-0,fruit / veg
"Beverages, tea, black, ready-to-drink, peach, diet",0.0,0.0,0.25,0.0,0.0,1.0,0,0,0-0,fruit / veg
"Beverages, OCEAN SPRAY, Ruby Red cranberry",0.01,0.003,11.58,0.07,0.6,46.7,0,0,0-0,fruit / veg
"Lemonade, powder, prepared with water",0.04,0.0,3.59,0.0,0.0,14.7,0,0,0-0,fruit / veg
"Beverages, lemonade-flavor drink, powder, prepared with water",0.07,0.0,6.9,0.0,0.0,28.2,0,0,0-0,fruit / veg
"Limeade, frozen concentrate, prepared with water",0.0,0.0,13.79,0.0,0.0,55.2,0,0,0-0,fruit / veg
"Malt beverage, includes non-alcoholic beer",0.12,0.024,8.05,0.21,0.0,34.1,0,0,0-0,fruit / veg
"Beverages, Malted drink mix, chocolate, with added nutrients, powder, prepared with whole milk",3.26,1.873,11.19,3.29,0.4,87.3,0,0,0-0,fruit / veg
"Beverages, Malted drink mix, chocolate, powder, prepared with whole milk",3.29,1.883,11.2,3.37,0.5,87.9,0,0,0-0,fruit / veg
"Beverages, orange drink, canned, with added vitamin C",0.07,0.002,12.34,0.0,0.0,50.0,0,0,0-0,fruit / veg
"Beverages, Strawberry-flavor beverage mix, powder, prepared with whole milk",3.1,1.91,12.3,3.0,0.0,89.1,0,0,0-0,fruit / veg
"Beverages, tea, black, brewed, prepared with tap water, decaffeinated",0.0,0.002,0.3,0.0,0.0,1.2,0,0,0-0,fruit / veg
"Beverages, tea, instant, unsweetened, prepared with water",0.0,0.0,0.17,0.06,0.0,0.9,0,0,0-0,fruit / veg
"Beverages, tea, Oolong, brewed",0.0,0.0,0.15,0.0,0.0,0.6,0,0,0-0,fruit / veg
"Sauce, white, thin, prepared-from-recipe, with butter",2.56,1.6,8.29,3.95,0.1,72.0,0,0,0-0,fruit / veg
"Sauce, sweet and sour, prepared-from-recipe",0.58,0.144,16.72,1.84,0.4,79.5,0,0,0-0,fruit / veg
"Cereals, QUAKER, Oat Bran, QUAKER/MOTHER'S Oat Bran, prepared with water, no salt",0.95,0.17,7.49,2.03,1.7,46.6,0,0,0-0,fruit / veg
"Beverages, MOTTS, Apple juice light, fortified with vitamin C",0.1,0.0,5.1,0.0,0.0,21.3,0,0,0-0,fruit / veg
"Bread, stuffing, dry mix, prepared",12.05,2.319,18.84,2.73,0.8,194.7,0,1,0-1,protein
"Croissants, apple",8.7,4.994,37.1,7.4,2.5,256.3,0,1,0-1,protein
"Pancakes, plain, dry mix, complete, prepared",2.5,0.507,36.7,5.2,1.3,190.1,0,1,0-1,protein
"Pancakes, plain, dry mix, incomplete, prepared",7.7,2.045,28.9,7.8,1.9,216.1,0,1,0-1,protein
"Pancakes, whole-wheat, dry mix, incomplete, prepared",6.5,1.749,29.4,8.5,2.8,210.1,0,1,0-1,protein
"Pie, apple, commercially prepared, enriched flour",11.0,3.797,34.0,1.9,1.6,242.6,0,1,0-1,protein
"Pie, banana cream, prepared from mix, no-bake type",12.9,6.904,31.6,3.4,0.6,256.1,0,1,0-1,protein
"Pie, peach",10.0,1.508,32.9,1.9,0.8,229.2,0,1,0-1,protein
"Leavening agents, baking soda",0.0,0.0,0.0,0.0,0.0,0.0,0,0,0-0,fruit / veg
"Leavening agents, yeast, baker's, compressed",1.9,0.243,18.1,8.4,8.1,123.1,0,1,0-1,protein
"Beverages, tea, instant, lemon, sweetened, prepared with water",0.06,0.008,8.61,0.01,0.1,35.0,0,0,0-0,fruit / veg
"Beverages, cocoa mix, with aspartame, powder, prepared with water",0.23,0.139,5.61,1.21,0.6,29.4,0,0,0-0,fruit / veg
"Beverages, carbonated, cola, fast-food cola",0.02,0.0,9.56,0.07,0.0,38.7,0,0,0-0,fruit / veg
"Beverages, fruit punch juice drink, frozen concentrate",0.7,0.087,43.1,0.3,0.2,179.9,0,1,0-1,protein
"Beverages, fruit punch juice drink, frozen concentrate, prepared with water",0.17,0.021,11.4,0.07,0.0,47.4,0,0,0-0,fruit / veg
"Beverages, water, tap, well",0.0,0.0,0.0,0.0,0.0,0.0,0,0,0-0,fruit / veg
"Alcoholic beverage, liqueur, coffee with cream, 34 proof",15.7,9.664,20.9,2.8,0.0,236.1,0,1,0-1,protein
"Beverages, carbonated, low calorie, cola or pepper-type, with aspartame, contains caffeine",0.03,0.0,0.29,0.11,0.0,1.9,0,0,0-0,fruit / veg
"Beverages, Orange drink, breakfast type, with juice and pulp, frozen concentrate",0.0,0.002,39.0,0.4,0.1,157.6,0,1,0-1,protein
"Beverages, Orange drink, breakfast type, with juice and pulp, frozen concentrate, prepared with water",0.0,0.001,11.32,0.12,0.0,45.8,0,0,0-0,fruit / veg
"Beverages, shake, fast food, strawberry",2.8,1.734,18.9,3.4,0.4,114.4,0,1,0-1,protein
"Beverages, water, tap, municipal",0.0,0.0,0.0,0.0,0.0,0.0,0,0,0-0,fruit / veg
"Beverages, The COCA-COLA company, DASANI, water, bottled, non-carbonated",0.0,0.0,0.0,0.0,0.0,0.0,0,0,0-0,fruit / veg
"Beverages, orange breakfast drink, ready-to-drink, with added nutrients",0.0,0.0,13.2,0.0,0.1,52.8,0,0,0-0,fruit / veg
"Beverages, water, bottled, non-carbonated, CALISTOGA",0.0,0.0,0.0,0.0,0.0,0.0,0,0,0-0,fruit / veg
"Beverages, water, bottled, non-carbonated, CRYSTAL GEYSER",0.0,0.0,0.0,0.0,0.0,0.0,0,0,0-0,fruit / veg
"Beverages, COCA-COLA, POWERADE, lemon-lime flavored, ready-to-drink",0.05,0.008,7.84,0.0,0.0,31.8,0,0,0-0,fruit / veg
"Beverages, Propel Zero, fruit-flavored, non-carbonated",0.0,0.0,1.14,0.0,0.0,4.6,0,0,0-0,fruit / veg
"Beverages, ARIZONA, tea, ready-to-drink, lemon",0.0,0.0,9.77,0.0,0.0,39.1,0,0,0-0,fruit / veg
"Beverages, LIPTON BRISK, tea, black, ready-to-drink, lemon",0.0,0.0,8.81,0.0,0.0,35.2,0,0,0-0,fruit / veg
"Alcoholic beverage, wine, dessert, dry",0.0,0.0,11.67,0.2,0.0,47.5,0,0,0-0,fruit / veg
"Carbonated beverage, low calorie, other than cola or pepper, with sodium saccharin, without caffeine",0.0,0.0,0.1,0.0,0.0,0.4,0,0,0-0,fruit / veg
"Beverages, fruit punch-flavor drink, powder, without added sodium, prepared with water",0.01,0.006,9.47,0.0,0.0,38.0,0,0,0-0,fruit / veg
"Fish, pollock, Alaska, raw (may contain additives to retain moisture)",0.41,0.124,0.0,12.19,0.0,52.4,0,0,0-0,fruit / veg
"Mollusks, oyster, eastern, wild, cooked, dry heat",2.65,0.736,4.23,8.87,0.0,76.2,0,0,0-0,fruit / veg
"Mollusks, oyster, eastern, farmed, raw",1.55,0.443,5.53,5.22,0.0,57.0,0,0,0-0,fruit / veg
"Mollusks, oyster, eastern, farmed, cooked, dry heat",2.12,0.683,7.28,7.0,0.0,76.2,0,0,0-0,fruit / veg
"Beans, baked, canned, plain or vegetarian",0.37,0.071,21.14,4.75,4.1,106.9,0,1,0-1,protein
"Beans, baked, canned, with franks",6.57,2.352,15.39,6.75,6.9,147.7,0,1,0-1,protein
"Beans, baked, canned, with pork",1.55,0.599,19.99,5.19,5.5,114.7,0,1,0-1,protein
"Beans, black turtle, mature seeds, cooked, boiled, without salt",0.35,0.089,24.35,8.18,8.3,133.3,0,1,0-1,protein
"Beans, black turtle, mature seeds, canned",0.29,0.075,16.55,6.03,6.9,92.9,0,0,0-0,fruit / veg
"Beans, great northern, mature seeds, cooked, boiled, without salt",0.45,0.14,21.09,8.33,7.0,121.7,0,1,0-1,protein
"Beans, great northern, mature seeds, canned",0.39,0.12,21.02,7.37,4.9,117.1,0,1,0-1,protein
"Beans, kidney, red, mature seeds, cooked, boiled, without salt",0.5,0.072,22.8,8.67,7.4,130.4,0,1,0-1,protein
"Beans, kidney, red, mature seeds, canned, solids and liquids",0.36,0.125,14.83,5.22,4.3,83.4,0,0,0-0,fruit / veg
"Beans, kidney, royal red, mature seeds, cooked, boiled, without salt",0.17,0.024,21.85,9.49,9.3,126.9,0,1,0-1,protein
"Beans, pink, mature seeds, cooked, boiled, without salt",0.49,0.126,27.91,9.06,5.3,152.3,0,1,0-1,protein
"Beans, pinto, mature seeds, cooked, boiled, without salt",0.65,0.136,26.22,9.01,9.0,146.8,0,1,0-1,protein
"Beans, pinto, mature seeds, canned, solids and liquids",0.56,0.123,15.18,4.6,4.6,84.2,0,0,0-0,fruit / veg
"Beans, white, mature seeds, cooked, boiled, without salt",0.35,0.091,25.09,9.73,6.3,142.4,0,1,0-1,protein
"Beans, white, mature seeds, canned",0.29,0.074,21.2,7.26,4.8,116.4,0,1,0-1,protein
"Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, solids and liquids",1.95,0.204,13.49,4.92,4.4,91.2,0,0,0-0,fruit / veg
"Chili with beans, canned",3.76,1.133,13.24,6.12,3.3,111.3,0,1,0-1,protein
"Cowpeas, catjang, mature seeds, cooked, boiled, without salt",0.71,0.185,20.32,8.13,3.6,120.2,0,1,0-1,protein
"Vitasoy USA, Vitasoy Organic Creamy Original Soymilk",1.6,0.2,4.5,2.9,0.4,44.0,0,0,0-0,fruit / veg
"Vitasoy USA, Vitasoy Organic Classic Original Soymilk",1.8,0.21,4.5,3.2,0.4,47.0,0,0,0-0,fruit / veg
"Vitasoy USA, Vitasoy Light Vanilla Soymilk",0.82,0.18,4.1,1.6,0.1,30.2,0,0,0-0,fruit / veg
"Soymilk (all flavors), unsweetened, with added calcium, vitamins A and D",1.61,0.206,1.74,2.86,0.5,32.9,0,0,0-0,fruit / veg
"Soymilk (all flavors), nonfat, with added calcium, vitamins A and D",0.04,0.0,4.14,2.47,0.2,26.8,0,0,0-0,fruit / veg
"Soymilk, chocolate, nonfat, with added calcium, vitamins A and D",0.04,0.0,8.51,2.47,0.2,44.3,0,0,0-0,fruit / veg
"SILK Plain, soymilk",1.65,0.206,3.29,2.88,0.4,39.5,0,0,0-0,fruit / veg
"SILK Vanilla, soymilk",1.44,0.206,4.12,2.47,0.4,39.3,0,0,0-0,fruit / veg
"SILK Plus Omega-3 DHA, soymilk",2.06,0.206,3.29,2.88,0.4,43.2,0,0,0-0,fruit / veg
"SILK Plus for Bone Health, soymilk",1.44,0.206,4.53,2.47,0.8,41.0,0,0,0-0,fruit / veg
