food_item,fat_g,satfat_g,carbs_g,protein_g,fiber_g,energy_kcal_calculated,cluster,subcluster,supercluster
"Mango, Tommy Atkins, peeled, raw",0.5725,0.0,15.265,0.5625,1.753,68.5,0,0,0-0
"Mango, Ataulfo, peeled, raw",0.6813,0.0,17.3962,0.6875,1.289,78.5,0,0,0-0
"Pear, Anjou, green, with skin, raw",0.3713,0.0,14.7674,0.3125,2.636,63.7,0,0,0-0
"Plum, black, with skin, raw",0.2825,0.0,13.455575,0.578125,1.346,58.7,0,0,0-0
"Plantains, overripe, raw",0.99,0.0,29.191425,1.166875,1.792,130.3,0,1,0-1
"Carrots, frozen, unprepared",0.47,0.0,7.92,0.81,3.2,39.2,0,0,0-0
"Tomatoes, grape, raw",0.63,0.0,5.51,0.83,2.1,31.0,0,0,0-0
"Yogurt, Greek, plain, nonfat",0.37,0.108,3.64,10.3,0.0,59.1,0,0,0-0
"Olives, green, Manzanilla, stuffed with pimiento",12.9,2.3,4.96,1.15,4.0,140.5,0,1,0-1
"Tomatoes, canned, red, ripe, diced",0.5,0.0,3.32,0.84,0.0,21.1,0,0,0-0
"Fish, pollock, raw",0.41,0.128,0.0,12.3,0.0,52.9,0,0,0-0
"Lettuce, cos or romaine, raw",0.26,0.0,3.24,1.24,1.8,20.3,0,0,0-0
"Melons, cantaloupe, raw",0.18,0.0,8.16,0.82,0.8,37.5,0,0,0-0
"Oranges, raw, navels",0.15,0.0,11.8,0.91,2.0,52.2,0,0,0-0
"Pears, raw, bartlett",0.16,0.0,15.1,0.38,3.1,63.4,0,0,0-0
"Restaurant, Chinese, sweet and sour pork",13.6,2.68,25.5,8.88,1.0,259.9,0,1,0-1
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",0.08,0.049,4.92,3.43,0.0,34.1,0,0,0-0
"Sauce, salsa, ready-to-serve",0.19,0.0,6.74,1.44,1.8,34.4,0,0,0-0
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",1.9,1.11,4.9,3.36,0.0,50.1,0,0,0-0
"Milk, whole, 3.25% milkfat, with added vitamin D",3.2,1.86,4.63,3.27,0.0,60.4,0,0,0-0
"Broccoli, raw",0.34,0.039,6.27,2.57,2.4,38.4,0,0,0-0
"Eggs, Grade A, Large, egg white",0.0,0.0,2.36,10.7,0.0,52.2,0,0,0-0
"Onions, red, raw",0.1,0.0,9.93,0.94,2.2,44.4,0,0,0-0
"Onions, yellow, raw",0.05,0.0,8.61,0.83,1.9,38.2,0,0,0-0
"Bananas, overripe, raw",0.22,0.0,20.1,0.73,1.7,85.3,0,0,0-0
"Bananas, ripe and slightly ripe, raw",0.29,0.0,23.0,0.74,1.7,97.6,0,0,0-0
"Ice creams, vanilla, light",4.83,2.927,29.46,4.78,0.3,180.4,0,1,0-1
"Ice creams, vanilla, rich",16.2,10.329,22.29,3.5,0.0,249.0,0,1,0-1
"Desserts, flan, caramel custard, prepared-from-recipe",4.03,1.799,22.78,4.53,0.0,145.5,0,1,0-1
"Ice creams, vanilla",11.0,6.79,23.6,3.5,0.7,207.4,0,1,0-1
"Ice creams, vanilla, light, soft-serve",2.6,1.63,21.8,4.9,0.0,130.2,0,1,0-1
"Sherbet, orange",2.0,1.16,30.4,1.1,1.3,144.0,0,1,0-1
"Ice creams, chocolate, light",7.19,4.38,25.7,5.0,0.8,187.5,0,1,0-1
"Puddings, banana, dry mix, instant, prepared with 2% milk",1.7,0.971,19.74,2.76,0.0,105.3,0,0,0-0
"Puddings, banana, dry mix, regular, prepared with 2% milk",1.73,1.015,18.43,2.9,0.0,100.9,0,0,0-0
"Van's, Gluten Free, Totally Original Pancakes",4.55,0.48,40.32,3.31,1.5,215.5,0,1,0-1
