food_item,fat_g,satfat_g,carbs_g,protein_g,fiber_g,energy_kcal_calculated,cluster,subcluster,supercluster
"Beets, canned, regular pack, solids and liquids",0.09,0.011,7.14,0.73,1.2,32.3,0,0,0-0
"Amaranth leaves, cooked, boiled, drained, without salt",0.18,0.05,4.11,2.11,0.0,26.5,0,0,0-0
"Artichokes, (globe or french), raw",0.15,0.036,10.51,3.27,5.4,56.5,0,0,0-0
"Asparagus, canned, regular pack, solids and liquids",0.18,0.044,2.48,1.8,1.0,18.7,0,0,0-0
"Asparagus, canned, drained solids",0.65,0.147,2.46,2.14,1.6,24.2,0,0,0-0
"Asparagus, frozen, unprepared",0.23,0.052,4.1,3.23,1.9,31.4,0,0,0-0
"Asparagus, frozen, cooked, boiled, drained, without salt",0.42,0.096,1.92,2.95,1.6,23.3,0,0,0-0
"Bamboo shoots, raw",0.3,0.069,5.2,2.6,2.2,33.9,0,0,0-0
"Bamboo shoots, cooked, boiled, drained, without salt",0.22,0.051,1.92,1.53,1.0,15.8,0,0,0-0
"Bamboo shoots, canned, drained solids",0.4,0.092,3.22,1.72,1.4,23.4,0,0,0-0
"Beans, kidney, mature seeds, sprouted, raw",0.5,0.072,4.1,4.2,0.0,37.7,0,0,0-0
"Corn, sweet, yellow, canned, whole kernel, drained solids",1.22,0.245,14.34,2.29,2.0,77.5,0,0,0-0
"Corn, sweet, yellow, canned, cream style, regular pack",0.42,0.065,18.13,1.74,1.2,83.3,0,0,0-0
"Corn, sweet, yellow, canned, vacuum pack, regular pack",0.5,0.077,19.44,2.41,2.0,91.9,0,0,0-0
"Corn, yellow, whole kernel, frozen, microwaved",1.42,0.15,25.87,3.62,2.6,130.7,0,1,0-1
"Cornsalad, raw",0.4,0.0,3.6,2.0,0.0,26.0,0,0,0-0
"Cowpeas (blackeyes), immature seeds, raw",0.35,0.09,18.83,2.95,5.0,90.3,0,0,0-0
"Cowpeas, leafy tips, raw",0.25,0.066,4.82,4.1,0.0,37.9,0,0,0-0
"Cucumber, peeled, raw",0.16,0.078,2.16,0.59,0.7,12.4,0,0,0-0
"Dandelion greens, raw",0.7,0.17,9.2,2.7,3.5,53.9,0,0,0-0
"Dandelion greens, cooked, boiled, drained, without salt",0.6,0.146,6.4,2.0,2.9,39.0,0,0,0-0
"Eggplant, cooked, boiled, drained, without salt",0.23,0.044,8.73,0.83,2.5,40.3,0,0,0-0
"Ginger root, raw",0.75,0.203,17.77,1.82,2.0,85.1,0,0,0-0
"Gourd, white-flowered (calabash), raw",0.02,0.002,3.39,0.62,0.5,16.2,0,0,0-0
"Gourd, white-flowered (calabash), cooked, boiled, drained, without salt",0.02,0.002,3.69,0.6,1.2,17.3,0,0,0-0
"Hyacinth-beans, immature seeds, raw",0.2,0.088,9.19,2.1,3.3,47.0,0,0,0-0
"Jerusalem-artichokes, raw",0.01,0.0,17.44,2.0,1.6,77.9,0,0,0-0
"Kale, cooked, boiled, drained, without salt",1.21,0.175,5.3,2.94,4.0,43.8,0,0,0-0
"Kale, frozen, unprepared",0.46,0.059,4.88,2.66,2.0,34.3,0,0,0-0
"Kale, frozen, cooked, boiled, drained, without salt",1.21,0.158,5.3,2.94,2.3,43.8,0,0,0-0
"Mushrooms, shiitake, raw",0.49,0.0,6.79,2.24,2.5,40.5,0,0,0-0
"Mushrooms, portabella, grilled",0.58,0.064,4.44,3.28,2.2,36.1,0,0,0-0
"Lambsquarters, cooked, boiled, drained, without salt",0.7,0.052,5.0,3.2,2.1,39.1,0,0,0-0
"Leeks, (bulb and lower leaf-portion), raw",0.3,0.04,14.15,1.5,1.8,65.3,0,0,0-0
"Lettuce, iceberg (includes crisphead types), raw",0.14,0.018,2.97,0.9,1.2,16.7,0,0,0-0
"Lettuce, green leaf, raw",0.15,0.02,2.87,1.36,1.3,18.3,0,0,0-0
"Lotus root, raw",0.1,0.03,17.23,2.6,4.9,80.2,0,0,0-0
"Mushrooms, white, raw",0.34,0.05,3.26,3.09,1.0,28.5,0,0,0-0
"Mushrooms, white, cooked, boiled, drained, without salt",0.47,0.061,5.29,2.17,2.2,34.1,0,0,0-0
"Mushrooms, white, stir-fried",0.33,0.04,4.04,3.58,1.8,33.4,0,0,0-0
"Mushrooms, canned, drained solids",0.29,0.038,5.09,1.87,2.4,30.4,0,0,0-0
"Mushrooms, portabella, raw",0.35,0.01,3.87,2.11,1.3,27.1,0,0,0-0
"Mustard greens, raw",0.42,0.01,4.67,2.86,3.2,33.9,0,0,0-0
"Mustard greens, cooked, boiled, drained, without salt",0.47,0.012,4.51,2.56,2.0,32.5,0,0,0-0
"Mustard greens, frozen, unprepared",0.27,0.014,3.41,2.49,3.3,26.0,0,0,0-0
"Mustard greens, frozen, cooked, boiled, drained, without salt",0.25,0.013,3.11,2.27,2.8,23.8,0,0,0-0
"Okra, raw",0.19,0.026,7.45,1.93,3.2,39.2,0,0,0-0
"Okra, cooked, boiled, drained, without salt",0.21,0.045,4.51,1.87,2.5,27.4,0,0,0-0
"Okra, frozen, unprepared",0.25,0.065,6.63,1.69,2.2,35.5,0,0,0-0
"Okra, frozen, cooked, boiled, drained, without salt",0.24,0.063,6.41,1.63,2.1,34.3,0,0,0-0
"Potatoes, french fried, all types, salt added in processing, frozen, home-prepared, oven heated",5.48,0.848,25.55,2.75,2.0,162.5,0,1,0-1
"Potatoes, french fried, cottage-cut, salt not added in processing, frozen, as purchased",5.78,2.743,23.98,2.42,3.0,157.6,0,1,0-1
"Potatoes, french fried, cottage-cut, salt not added in processing, frozen, oven-heated",8.2,3.894,34.03,3.44,3.2,223.7,0,1,0-1
"Potatoes, frozen, french fried, par fried, extruded, unprepared",14.95,4.544,30.15,2.83,2.9,266.5,0,1,0-1
"Potato salad, home-prepared",8.2,1.429,11.17,2.68,1.3,129.2,0,1,0-1
"Pumpkin flowers, raw",0.07,0.036,3.28,1.03,0.0,17.9,0,0,0-0
"Pumpkin flowers, cooked, boiled, drained, without salt",0.08,0.041,3.3,1.09,0.9,18.3,0,0,0-0
"Pumpkin leaves, raw",0.4,0.207,2.33,3.15,0.0,25.5,0,0,0-0
"Pumpkin pie mix, canned",0.13,0.065,26.39,1.09,8.3,111.1,0,0,0-0
"Purslane, raw",0.36,0.0,3.39,2.03,0.0,24.9,0,0,0-0
"Purslane, cooked, boiled, drained, without salt",0.19,0.0,3.55,1.49,0.0,21.9,0,0,0-0
"Radishes, raw",0.1,0.032,3.4,0.68,1.6,17.2,0,0,0-0
"Salsify, (vegetable oyster), raw",0.2,0.0,18.6,3.3,3.3,89.4,0,0,0-0
"Salsify, cooked, boiled, drained, without salt",0.17,0.041,15.36,2.73,3.1,73.9,0,0,0-0
"Sauerkraut, canned, solids and liquids",0.14,0.034,4.28,0.91,2.9,22.0,0,0,0-0
"Seaweed, agar, raw",0.03,0.006,6.75,0.54,0.5,29.4,0,0,0-0
"Soybeans, green, raw",6.8,0.786,11.05,12.95,4.2,157.2,0,1,0-1
"Soybeans, green, cooked, boiled, drained, without salt",6.4,0.74,11.05,12.35,4.2,151.2,0,1,0-1
"Soybeans, mature seeds, sprouted, raw",6.7,0.929,9.57,13.09,1.1,150.9,0,1,0-1
"Spinach, canned, regular pack, solids and liquids",0.37,0.06,2.92,2.11,1.6,23.4,0,0,0-0
"Spinach, canned, regular pack, drained solids",0.5,0.081,3.4,2.81,2.4,29.3,0,0,0-0
"Spinach, frozen, chopped or leaf, unprepared (Includes foods for USDA's Food Distribution Program)",0.57,0.041,4.21,3.63,2.9,36.5,0,0,0-0
"Spinach, frozen, chopped or leaf, cooked, boiled, drained, without salt",0.87,0.157,4.8,4.01,3.7,43.1,0,0,0-0
"Squash, summer, scallop, raw",0.2,0.041,3.84,1.2,1.2,22.0,0,0,0-0
"Squash, summer, scallop, cooked, boiled, drained, without salt",0.17,0.035,3.3,1.03,1.9,18.8,0,0,0-0
"Squash, summer, zucchini, includes skin, raw",0.32,0.084,3.11,1.21,1.0,20.2,0,0,0-0
"Squash, summer, zucchini, includes skin, cooked, boiled, drained, without salt",0.36,0.072,2.69,1.14,1.0,18.6,0,0,0-0
"Squash, winter, acorn, cooked, baked, without salt",0.14,0.029,14.58,1.12,4.4,64.1,0,0,0-0
"Squash, winter, acorn, cooked, boiled, mashed, without salt",0.08,0.017,8.79,0.67,2.6,38.6,0,0,0-0
"Squash, winter, butternut, cooked, baked, without salt",0.09,0.019,10.49,0.9,3.2,46.4,0,0,0-0
"Squash, winter, hubbard, cooked, boiled, mashed, without salt",0.37,0.076,6.46,1.48,2.9,35.1,0,0,0-0
"Squash, winter, spaghetti, raw",0.57,0.117,6.91,0.64,1.5,35.3,0,0,0-0
"Squash, winter, spaghetti, cooked, boiled, drained, or baked, without salt",0.26,0.062,6.46,0.66,1.4,30.8,0,0,0-0
"Water convolvulus,raw",0.2,0.0,3.13,2.6,2.1,24.7,0,0,0-0
"Water convolvulus, cooked, boiled, drained, without salt",0.24,0.039,3.7,2.08,1.9,25.3,0,0,0-0
"Sweet potato leaves, raw",0.51,0.111,8.82,2.49,5.3,49.8,0,0,0-0
"Sweet potato leaves, cooked, steamed, without salt",0.34,0.065,7.38,2.18,1.9,41.3,0,0,0-0
"Sweet potato, canned, mashed",0.2,0.041,23.19,1.98,1.7,102.5,0,0,0-0
"Sweet potato, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",0.18,0.039,22.22,1.71,1.7,97.3,0,0,0-0
"Sweet potato, frozen, cooked, baked, without salt",0.12,0.025,23.4,1.71,1.8,101.5,0,0,0-0
"Taro, raw",0.2,0.041,26.46,1.5,4.1,113.6,0,0,0-0
"Taro shoots, cooked, without salt",0.08,0.016,3.2,0.73,0.0,16.4,0,0,0-0
"Artichokes, (globe or french), cooked, boiled, drained, with salt",0.34,0.079,11.39,2.89,5.7,60.2,0,0,0-0
"Artichokes, (globe or french), frozen, cooked, boiled, drained, with salt",0.5,0.119,9.18,3.11,4.6,53.7,0,0,0-0
"Asparagus, cooked, boiled, drained, with salt",0.22,0.048,4.11,2.4,2.0,28.0,0,0,0-0
"Asparagus, canned, no salt added, solids and liquids",0.18,0.041,2.48,1.8,1.0,18.7,0,0,0-0
"Lima beans, immature seeds, cooked, boiled, drained, with salt",0.32,0.073,23.64,6.81,5.3,124.7,0,1,0-1
"Lima beans, immature seeds, canned, no salt added, solids and liquids",0.29,0.066,13.33,4.07,3.6,72.2,0,0,0-0
"Lima beans, immature seeds, frozen, baby, cooked, boiled, drained, with salt",0.3,0.068,19.45,6.65,4.8,107.1,0,1,0-1
"Beans, snap, yellow, raw",0.12,0.026,7.13,1.82,3.4,36.9,0,0,0-0
"Beans, snap, green, cooked, boiled, drained, with salt",0.28,0.064,7.88,1.89,3.2,41.6,0,0,0-0
"Beans, snap, yellow, cooked, boiled, drained, without salt",0.28,0.064,7.88,1.89,3.3,41.6,0,0,0-0
"Beans, snap, yellow, cooked, boiled, drained, with salt",0.28,0.064,7.88,1.89,3.3,41.6,0,0,0-0
"Beans, snap, yellow, frozen, all styles, unprepared",0.21,0.047,7.58,1.8,2.8,39.4,0,0,0-0
"Beans, snap, green, frozen, cooked, boiled, drained, with salt",0.17,0.044,6.45,1.49,3.0,33.3,0,0,0-0
"Beans, snap, yellow, frozen, cooked, boiled, drained, without salt",0.17,0.044,6.45,1.49,3.0,33.3,0,0,0-0
"Beans, snap, yellow, frozen, cooked, boiled, drained, with salt",0.17,0.044,6.45,1.49,3.0,33.3,0,0,0-0
"Broccoli, flower clusters, raw",0.35,0.054,5.06,2.98,2.3,35.3,0,0,0-0
"Brussels sprouts, frozen, cooked, boiled, drained, with salt",0.39,0.081,8.32,3.64,4.1,51.4,0,0,0-0
"Burdock root, cooked, boiled, drained, with salt",0.14,0.0,21.15,2.09,1.8,94.2,0,0,0-0
"Cabbage, common (danish, domestic, and pointed types), freshly harvest, raw",0.18,0.023,5.37,1.21,2.3,27.9,0,0,0-0
"Cabbage, common (danish, domestic, and pointed types), stored, raw",0.18,0.023,5.37,1.21,2.3,27.9,0,0,0-0
"Cabbage, chinese (pe-tsai), cooked, boiled, drained, with salt",0.17,0.036,2.41,1.5,1.7,17.2,0,0,0-0
"Carrots, cooked, boiled, drained, with salt",0.18,0.037,8.22,0.76,3.0,37.5,0,0,0-0
"Carrots, canned, no salt added, solids and liquids",0.14,0.024,5.36,0.59,1.8,25.1,0,0,0-0
"Celery, cooked, boiled, drained, with salt",0.16,0.04,4.0,0.83,1.6,20.8,0,0,0-0
"Chard, swiss, cooked, boiled, drained, with salt",0.08,0.0,4.13,1.88,2.1,24.8,0,0,0-0
"Chayote, fruit, cooked, boiled, drained, with salt",0.48,0.031,4.5,0.62,2.8,24.8,0,0,0-0
"Corn, sweet, yellow, canned, no salt added, solids and liquids (Includes foods for USDA's Food Distribution Program)",0.77,0.077,13.86,1.95,1.7,70.2,0,0,0-0
"Corn, sweet, yellow, canned, cream style, no salt added",0.42,0.065,18.13,1.74,1.2,83.3,0,0,0-0
"Corn, sweet, yellow, canned, vacuum pack, no salt added",0.5,0.077,19.44,2.41,2.0,91.9,0,0,0-0
"Corn, sweet, yellow, frozen, kernels, cut off cob, boiled, drained, with salt",0.67,0.066,18.71,2.55,2.4,91.1,0,0,0-0
"Corn, sweet, yellow, frozen, kernels on cob, cooked, boiled, drained, with salt",0.74,0.114,22.33,3.11,2.8,108.4,0,0,0-0
"Cress, garden, cooked, boiled, drained, with salt",0.6,0.02,3.8,1.9,0.7,28.2,0,0,0-0
"Dandelion greens, cooked, boiled, drained, with salt",0.6,0.0,6.4,2.0,2.9,39.0,0,0,0-0
"Eggplant, cooked, boiled, drained, with salt",0.23,0.044,8.14,0.83,2.5,38.0,0,0,0-0
"Gourd, white-flowered (calabash), cooked, boiled, drained, with salt",0.02,0.002,3.1,0.6,1.2,15.0,0,0,0-0
"Jute, potherb, cooked, boiled, drained, with salt",0.2,0.03,7.29,3.68,2.0,45.7,0,0,0-0
"Kale, cooked, boiled, drained, with salt",1.21,0.156,5.3,2.94,2.3,43.8,0,0,0-0
"Kale, frozen, cooked, boiled, drained, with salt",1.21,0.158,5.3,2.94,2.3,43.8,0,0,0-0
"Kohlrabi, cooked, boiled, drained, with salt",0.11,0.014,6.69,1.8,1.1,35.0,0,0,0-0
"Corn, sweet, white, canned, whole kernel, no salt added, solids and liquids",0.5,0.077,15.41,1.95,0.7,73.9,0,0,0-0
"Corn, sweet, white, canned, whole kernel, drained solids",1.22,0.245,14.34,2.29,2.0,77.5,0,0,0-0
"Corn, sweet, white, canned, cream style, regular pack",0.42,0.065,18.62,1.74,1.2,85.2,0,0,0-0
"Corn, sweet, white, canned, cream style, no salt added",0.42,0.065,18.13,1.74,1.2,83.3,0,0,0-0
"Corn, sweet, white, frozen, kernels cut off cob, boiled, drained, with salt",0.43,0.066,19.56,2.75,2.4,93.1,0,0,0-0
"Corn, sweet, white, frozen, kernels on cob, unprepared",0.78,0.12,23.5,3.28,2.8,114.1,0,1,0-1
"Corn, sweet, white, frozen, kernels on cob, cooked, boiled, drained, without salt",0.74,0.114,22.33,3.11,2.1,108.4,0,0,0-0
"Corn, sweet, white, frozen, kernels on cob, cooked, boiled, drained, with salt",0.74,0.114,22.33,3.11,2.8,108.4,0,0,0-0
"Soybeans, mature seeds, sprouted, cooked, steamed, with salt",4.45,0.617,6.53,8.47,0.8,100.1,0,0,0-0
"Potatoes, mashed, dehydrated, prepared from flakes without milk, whole milk and margarine added",5.6,1.46,15.02,1.9,2.3,118.1,0,0,0-0
"Beans, snap, yellow, canned, regular pack, drained solids",0.1,0.022,4.5,1.15,1.3,23.5,0,0,0-0
"Beans, snap, yellow, canned, no salt added, drained solids",0.1,0.022,4.5,1.15,1.3,23.5,0,0,0-0
"Mushroom, white, exposed to ultraviolet light, raw",0.34,0.05,3.26,3.09,1.0,28.5,0,0,0-0
"Mushrooms, portabella, exposed to ultraviolet light, grilled",0.58,0.028,4.44,3.28,2.2,36.1,0,0,0-0
"Pickles, cucumber, sweet (includes bread and butter pickles)",0.41,0.067,21.15,0.58,1.0,90.6,0,0,0-0
"Pickles, cucumber, sour",0.2,0.052,2.26,0.33,1.2,12.2,0,0,0-0
"Pickles, cucumber, sweet, low sodium (includes bread and butter pickles)",0.26,0.067,33.73,0.37,1.1,138.7,0,1,0-1
"Catsup, low sodium",0.1,0.014,27.4,1.04,0.3,114.7,0,0,0-0
"Mushrooms, enoki, raw",0.29,0.027,7.81,2.66,2.7,44.5,0,0,0-0
"Peppers, sweet, yellow, raw",0.21,0.031,6.32,1.0,0.9,31.2,0,0,0-0
"Tomatoes, sun-dried, packed in oil, drained",14.08,1.893,23.33,5.06,5.8,240.3,0,1,0-1
"Fennel, bulb, raw",0.2,0.09,7.3,1.24,3.1,36.0,0,0,0-0
"Pickle relish, hamburger",0.54,0.052,34.48,0.63,3.2,145.3,0,1,0-1
"Arugula, raw",0.66,0.086,3.65,2.58,1.6,30.9,0,0,0-0
"Nopales, cooked, without salt",0.05,0.006,3.28,1.35,2.0,19.0,0,0,0-0
"Cauliflower, green, raw",0.3,0.047,6.09,2.95,3.2,38.9,0,0,0-0
"Cauliflower, green, cooked, no salt added",0.31,0.043,6.28,3.04,3.3,40.1,0,0,0-0
"Cauliflower, green, cooked, with salt",0.31,0.049,6.28,3.04,3.3,40.1,0,0,0-0
"Broccoli, chinese, cooked",0.72,0.11,3.81,1.14,2.5,26.3,0,0,0-0
"Grape leaves, canned",1.97,0.312,11.71,4.27,9.9,81.6,0,0,0-0
"Pepper, banana, raw",0.45,0.048,5.35,1.66,3.4,32.1,0,0,0-0
"Peppers, serrano, raw",0.44,0.059,6.7,1.74,3.7,37.7,0,0,0-0
"Pickles, chowchow, with cauliflower onion mustard, sweet",0.9,0.149,26.64,1.5,1.5,120.7,0,1,0-1
"Epazote, raw",0.52,0.0,7.44,0.33,3.8,35.8,0,0,0-0
"Fireweed, leaves, raw",2.75,0.0,19.22,4.71,10.6,120.5,0,1,0-1
"Malabar spinach, cooked",0.78,0.0,2.71,2.98,2.1,29.8,0,0,0-0
"Yautia (tannier), raw",0.4,0.082,23.63,1.46,1.5,104.0,0,0,0-0
"Mushrooms, maitake, raw",0.19,0.03,6.97,1.94,2.7,37.4,0,0,0-0
"Alcoholic beverage, beer, light, BUD LIGHT",0.0,0.0,1.3,0.25,0.0,6.2,0,0,0-0
"Alcoholic beverage, daiquiri, canned",0.0,0.0,15.7,0.0,0.0,62.8,0,0,0-0
"Alcoholic beverage, daiquiri, prepared-from-recipe",0.06,0.006,6.94,0.06,0.1,28.5,0,0,0-0
"Alcoholic beverage, beer, light, low carb",0.0,0.0,0.73,0.17,0.0,3.6,0,0,0-0
"Syrups, table blends, pancake, reduced-calorie",0.0,0.0,44.55,0.0,0.0,178.2,0,1,0-1
"Desserts, egg custard, baked, prepared-from-recipe",4.58,2.164,11.0,5.02,0.0,105.3,0,0,0-0
"Gelatin desserts, dry mix, prepared with water",0.0,0.0,14.19,1.22,0.0,61.6,0,0,0-0
"Gelatin desserts, dry mix, reduced calorie, with aspartame, prepared with water",0.0,0.0,4.22,0.83,0.0,20.2,0,0,0-0
"Puddings, chocolate, dry mix, instant, prepared with whole milk",3.1,1.83,18.8,3.1,1.0,115.5,0,1,0-1
"Desserts, apple crisp, prepared-from-recipe",3.43,0.685,30.84,1.75,1.4,161.2,0,1,0-1
"Puddings, chocolate, dry mix, regular, prepared with whole milk",3.15,1.81,19.64,3.16,0.8,119.6,0,1,0-1
"Puddings, rice, dry mix, prepared with whole milk",2.82,1.682,20.68,3.25,0.1,121.1,0,1,0-1
"Puddings, tapioca, dry mix, prepared with whole milk",2.89,1.724,19.43,2.84,0.0,115.1,0,0,0-0
"Puddings, vanilla, ready-to-eat",3.78,1.016,22.6,1.45,0.0,130.2,0,1,0-1
"Puddings, vanilla, dry mix, regular, prepared with whole milk",2.9,1.643,18.92,2.8,0.1,113.0,0,0,0-0
"Puddings, rice, dry mix, prepared with 2% milk",1.63,0.967,20.81,3.29,0.1,111.1,0,0,0-0
"Puddings, tapioca, dry mix, prepared with 2% milk",1.67,0.991,19.56,2.88,0.0,104.8,0,0,0-0
"Frozen novelties, ice type, fruit, no sugar added",0.1,0.0,6.2,0.5,0.0,27.7,0,0,0-0
"Puddings, tapioca, ready-to-eat",3.88,0.962,21.69,1.95,0.0,129.5,0,1,0-1
"Puddings, coconut cream, dry mix, regular, prepared with 2% milk",2.5,1.8,17.8,3.1,0.2,106.1,0,0,0-0
"Rennin, chocolate, dry mix, prepared with whole milk",3.34,1.999,13.34,3.2,0.5,96.2,0,0,0-0
"Flan, caramel custard, dry mix, prepared with 2% milk",1.72,1.035,18.82,2.99,0.0,102.7,0,0,0-0
"Ice creams, vanilla, light, no sugar added",7.45,4.048,21.42,3.97,0.0,168.6,0,1,0-1
"Frozen novelties, fruit and juice bars",0.1,0.0,20.2,1.2,1.0,86.5,0,0,0-0
"Ice creams, chocolate, light, no sugar added",5.74,3.61,26.79,3.54,0.9,173.0,0,1,0-1
"Frozen novelties, ice type, lime",0.0,0.0,32.6,0.4,0.0,132.0,0,1,0-1
"Puddings, banana, dry mix, instant, prepared with whole milk",2.8,1.562,19.76,2.62,0.0,114.7,0,0,0-0
"Couscous, cooked",0.16,0.029,23.22,3.79,1.4,109.5,0,0,0-0
"Hominy, canned, white",0.88,0.123,14.26,1.48,2.5,70.9,0,0,0-0
"Rice, brown, long-grain, cooked (Includes foods for USDA's Food Distribution Program)",0.97,0.26,25.58,2.74,1.6,122.0,0,1,0-1
"Rice, white, long-grain, parboiled, enriched, cooked",0.37,0.074,26.05,2.91,0.9,119.2,0,1,0-1
"Rice, white, long-grain, precooked or instant, enriched, prepared",0.5,0.017,26.76,2.18,0.6,120.3,0,1,0-1
"Rice, white, glutinous, unenriched, cooked",0.19,0.039,21.09,2.02,1.0,94.1,0,0,0-0
"Rice, white, steamed, Chinese restaurant",0.27,0.0,33.88,3.2,0.9,150.8,0,1,0-1
"Wheat, sprouted",1.27,0.206,42.53,7.49,1.1,211.5,0,1,0-1
"Noodles, egg, enriched, cooked",2.07,0.419,25.16,4.54,1.2,137.4,0,1,0-1
"Noodles, egg, spinach, enriched, cooked",1.57,0.361,24.25,5.04,2.3,131.3,0,1,0-1
"Pasta, cooked, enriched, without added salt",0.93,0.176,30.86,5.8,1.8,155.0,0,1,0-1
"Wheat, KAMUT khorasan, cooked",0.83,0.077,27.6,5.71,4.3,140.7,0,1,0-1
"Spelt, cooked",0.85,0.0,26.44,5.5,3.9,135.4,0,1,0-1
"Pasta, cooked, enriched, with added salt",0.93,0.176,30.59,5.8,1.8,153.9,0,1,0-1
"Hominy, canned, yellow",0.88,0.123,14.26,1.48,2.5,70.9,0,0,0-0
"Rice, white, long-grain, regular, cooked, enriched, with salt",0.28,0.077,28.17,2.69,0.4,126.0,0,1,0-1
"Rice, white, long-grain, regular, unenriched, cooked without salt",0.28,0.077,28.17,2.69,0.4,126.0,0,1,0-1
"Rice, white, long-grain, parboiled, unenriched, cooked",0.37,0.074,26.05,2.91,0.9,119.2,0,1,0-1
"Noodles, egg, cooked, unenriched, with added salt",2.07,0.419,25.16,4.54,1.2,137.4,0,1,0-1
"Potatoes, yellow fleshed, roasted, salt added in processing, frozen, unprepared",1.85,0.153,23.44,1.99,2.6,118.4,0,1,0-1
"Potatoes, yellow fleshed, french fried, frozen, unprepared",5.84,1.427,25.01,2.47,2.2,162.5,0,1,0-1
"Ginger root, pickled, canned, with artificial sweetener",0.1,0.037,4.83,0.33,2.6,21.5,0,0,0-0
"Peppers, hot pickled, canned",0.4,0.061,4.56,0.8,2.6,25.0,0,0,0-0
"Vegetable juice, BOLTHOUSE FARMS, DAILY GREENS",0.04,0.015,8.13,0.49,1.9,34.8,0,0,0-0
"Potatoes, mashed, ready-to-eat",5.01,2.632,13.29,1.97,1.9,106.1,0,0,0-0
"Macaroni and cheese, box mix with cheese sauce, prepared",4.99,1.636,23.1,6.68,1.2,164.0,0,1,0-1
"Taquitos, frozen, chicken and cheese, oven-heated",12.54,2.31,33.63,9.21,2.9,284.2,0,1,0-1
"Taquitos, frozen, beef and cheese, oven-heated",12.79,2.621,33.46,9.4,2.8,286.6,0,1,0-1
"Potsticker or wonton, pork and vegetable, frozen, unprepared",5.52,1.724,13.28,8.28,1.4,135.9,0,1,0-1
"Turnover, cheese-filled, tomato-based sauce, frozen, unprepared",9.45,4.724,27.29,10.24,1.6,235.2,0,1,0-1
"Spanish rice mix, dry mix, prepared (with canola/vegetable oil blend or diced tomatoes and margarine)",2.38,0.387,22.74,3.27,1.5,125.5,0,1,0-1
"Dumpling, potato- or cheese-filled, frozen",6.14,1.316,29.64,5.26,0.9,194.9,0,1,0-1
"Turnover, chicken- or turkey-, and vegetable-filled, reduced fat, frozen",5.51,2.756,21.74,7.87,3.1,168.0,0,1,0-1
"HUNGRY MAN, Salisbury Steak With Gravy, frozen, unprepared",8.53,3.426,6.96,7.96,1.3,136.4,0,1,0-1
"BANQUET, Salisbury Steak With Gravy, family size, frozen, unprepared",11.1,4.282,6.96,6.89,1.0,155.3,0,1,0-1
"Infant formula, MEAD JOHNSON, ENFAMIL, Premature, 24 calories ready-to-feed Low iron",3.34,1.339,7.19,1.97,0.0,66.7,0,0,0-0
"Infant Formula, MEAD JOHNSON, ENFAMIL, Premium, Infant, ready-to-feed",3.48,1.027,7.39,1.38,0.0,66.4,0,0,0-0
"Babyfood, GERBER, Banana with orange medley",0.0,0.0,20.41,1.06,2.1,85.9,0,0,0-0
"Lambsquarters, steamed (Northern Plains Indians)",0.16,0.0,7.47,4.06,5.2,47.6,0,0,0-0
"Prickly pears, raw (Northern Plains Indians)",0.11,0.0,10.17,0.12,5.3,42.2,0,0,0-0
"Prairie Turnips, raw (Northern Plains Indians)",0.36,0.0,35.67,2.62,8.0,156.4,0,1,0-1
"Stinging Nettles, blanched (Northern Plains Indians)",0.11,0.0,7.49,2.71,6.9,41.8,0,0,0-0
"Plums, wild (Northern Plains Indians)",0.17,0.0,21.95,0.43,6.0,91.0,0,0,0-0
"T.G.I. FRIDAY'S, macaroni & cheese, from kid's menu",3.45,1.63,17.4,5.03,1.0,120.8,0,1,0-1
"Restaurant, family style, macaroni & cheese, from kids' menu",6.06,2.147,18.8,5.42,1.1,151.4,0,1,0-1
"CRACKER BARREL, coleslaw",13.22,2.039,13.01,0.89,1.6,174.6,0,1,0-1
"DENNY'S, spaghetti and meatballs",8.52,3.104,15.51,7.84,1.5,170.1,0,1,0-1
"Restaurant, family style, hash browns",8.99,1.689,26.59,2.49,2.7,197.2,0,1,0-1
"CRACKER BARREL, macaroni n' cheese",11.75,4.178,15.61,6.49,1.1,194.2,0,1,0-1
"Restaurant, Italian, lasagna with meat",10.69,4.941,11.36,10.83,1.5,185.0,0,1,0-1
"OLIVE GARDEN, spaghetti with pomodoro sauce",1.85,0.336,17.14,4.26,1.7,102.2,0,0,0-0
"CARRABBA'S ITALIAN GRILL, spaghetti with pomodoro sauce",1.75,0.36,18.63,3.42,1.7,104.0,0,0,0-0
"Restaurant, Mexican, cheese tamales",11.99,3.983,17.97,8.99,2.2,215.8,0,1,0-1
"Babyfood, vegetable and brown rice, strained",1.5,0.14,12.1,1.9,1.1,69.5,0,0,0-0
"Babyfood, peas and brown rice",0.5,0.1,11.49,3.4,2.5,64.1,0,0,0-0
"Milk, fluid, nonfat, calcium fortified (fat free or skim)",0.18,0.117,4.85,3.4,0.0,34.6,0,0,0-0
"Babyfood, carrots, toddler",0.3,0.052,5.23,0.6,2.3,26.0,0,0,0-0
"Babyfood, dessert, banana pudding, strained",0.8,0.264,14.14,1.0,0.8,67.8,0,0,0-0
"Babyfood, fruit, tutti frutti, strained",0.3,0.087,15.48,0.4,0.6,66.2,0,0,0-0
